Username,average_bet,max_bet,bet_volatility,total_sessions,win_rate,total_profit,loss_chase_rate
----------------,0.00775,0.009000000000000001,0.0015612494995996,1,0.6666666666666666,-0.005475,0.0
--dilib--,0.1580625,0.56775,0.1951123646041649,3,0.25,-0.6507225,0.2
-31337-,0.024375,0.04125,0.01948557158514987,1,0.75,-0.025125,0.0
-Nothing-,0.2421576923076923,2.25,0.4673860814772449,22,0.6461538461538462,-2.3405175000000003,0.43478260869565216
-Tachyon,0.7686,1.593,0.6703276624159262,1,0.8,-1.12074,0.0
-Y-,0.012,0.015000000000000001,0.004242640687119285,1,0.0,-0.024,0.0
-ZYBERPH-,0.75,0.75,0.0,1,1.0,0.165,0.0
-_-TUYUL-_-,0.0228,0.0855,0.03518851019864297,1,0.2,-0.0687225,0.25
-__---,16.331781250000002,70.33500000000001,20.26176013888259,15,0.7916666666666666,50.45718749999999,0.6
-i_,0.0022500000000000003,0.0037500000000000003,0.002121320343559643,1,1.0,0.0007199999999999999,0.0
-mdK,3.75,3.75,0.0,1,1.0,1.4901224999999998,0.0
-t-,0.15888888888888889,0.83325,0.27027555679817605,10,0.4074074074074074,3.0190874999999995,0.4666666666666667
-tuyul-,0.017249999999999998,0.1365,0.03090344199717448,5,0.30434782608695654,-0.23627250000000002,0.3125
-xAx-,0.009857142857142858,0.0375,0.013489082887389236,7,0.5714285714285714,0.0010725000000000036,0.0
0-----_-----0,1.6875,3.75,1.7325919888998678,3,0.5,1.230855,1.0
010101,15.115250000000001,44.52075,25.46814635849064,1,0.6666666666666666,-43.752,0.0
01010100b,0.006767045454545455,0.015000000000000001,0.0030795639826876847,9,0.7045454545454546,0.017219999999999996,0.23076923076923078
015ka,0.19999999999999998,0.375,0.1272771582020906,2,0.3333333333333333,-0.548745,0.5
01Nov,0.165,0.165,0.0,1,0.0,-0.165,0.0
03K75,0.875,1.5,0.57282196186948,2,1.0,1.05888,0.0
0on97,3.6666666666666665,7.5,1.7365554986812255,7,0.4444444444444444,-13.59858,0.0
0x0,0.07556249999999999,0.3,0.149625,4,0.25,-0.3012225,0.0
0x22B,0.1875,0.1875,0.0,1,0.0,-0.1875,0.0
1000yen,0.0021000000000000003,0.006,0.0016881943016134136,4,0.7,-0.0043575,0.0
1017738,2.258,3.75,1.9707085020367674,2,1.0,0.7654500000000001,0.0
1017FickSquad,0.09749999999999999,0.22499999999999998,0.11048189896992176,2,0.6666666666666666,-0.17090999999999998,0.0
10__________10,0.44999999999999996,0.44999999999999996,0.0,1,0.0,-0.44999999999999996,0.0
11-1,0.008625,0.015000000000000001,0.009015611460128482,2,1.0,0.01026,0.0
1213141516171819,0.004125,0.006,0.0026516504294495534,1,0.0,-0.00825,1.0
1225,0.7980164233576642,22.4025,2.7237830069141014,30,0.6131386861313869,-3.3197850000000018,0.6037735849056604
12T,0.35925,0.42,0.08591347391416548,2,0.0,-0.7185,1.0
12alexei12,0.005464285714285715,0.007500000000000001,0.0029626799569768803,3,0.7857142857142857,-0.014085000000000002,0.3333333333333333
136,0.15,0.15,0.0,1,1.0,0.056182499999999996,0.0
1981hyunjun,0.125,0.15,0.04330127018922193,1,0.3333333333333333,-0.0262275,1.0
19Sebastian,0.0225,0.0225,0.0,1,1.0,0.0027225,0.0
1Chance,7.625,18.75,9.781200079744817,3,1.0,6.902205,0.0
1basicperson,2.0625,2.25,0.2651650429449553,1,1.0,3.87348,0.0
1mbitdream,24.377249999999997,24.377249999999997,0.0,1,1.0,7.313175,0.0
1ozweed,1.0875000000000001,3.0,1.028074656822159,5,0.3333333333333333,-0.5114775000000007,1.0
207Clark,0.018625,0.07575,0.026685350935400014,6,0.9166666666666666,0.016589999999999997,0.0
20bn,1.875,1.875,0.0,1,1.0,2.8900875,0.0
224455,0.05512499999999999,0.09749999999999999,0.03869835267811796,3,0.5,0.16932750000000002,0.0
2273,0.0037500000000000003,0.0037500000000000003,0.0,1,1.0,0.0002925,0.0
2340,0.15,0.15,0.0,1,0.0,-0.15,0.0
25redswin,0.0025,0.006,0.003031088913245535,2,0.3333333333333333,-0.0063375,1.0
27smouc27,0.075,0.075,0.0,1,0.0,-0.075,0.0
28Anton,0.0015000000000000002,0.0015,0.0,2,0.6666666666666666,0.0015,0.0
28UG,11.625,22.5,15.379572490807409,1,1.0,1.5257399999999999,0.0
2n6n8n8,41.63025,83.19,58.77436209883523,1,0.5,32.746545,0.0
300Goal,1.23825,4.5,1.944572253736024,3,0.0,-6.19125,0.75
3777,0.0135,0.0255,0.01697056274847714,2,1.0,0.04506,0.0
41945897,1.044675,7.5,2.2934346091070483,7,0.8,-6.975075,0.5
44jew,0.5625,0.5625,0.0,1,1.0,0.331605,0.0
4_2_0,0.326125,1.875,0.7589453661166922,3,0.3333333333333333,1.86411,0.6666666666666666
4eldobrek,0.003,0.012,0.0050311529493745274,1,0.6,-0.0121725,0.0
4fIGHty,5.446129518072289,157.5,21.235741519467798,27,0.3373493975903614,46.98852749999999,0.5
4head,2.025,3.75,2.439518395093589,2,0.5,0.22500000000000003,0.0
4loko,0.975,0.975,0.0,1,1.0,0.0800025,0.0
4uvak_Eto_Rep4ik,4.5,4.5,0.0,1,0.0,-4.5,0.0
5tupid8ot,0.06375,0.06375,0.0,1,0.0,-0.06375,0.0
7013145,0.00725,0.01575,0.007697402159170326,1,0.6666666666666666,0.041805,1.0
741741,0.003,0.003,0.0,1,1.0,8.999999999999999e-05,0.0
7773,3.1875,5.25,2.9168154723945086,1,0.5,-4.5559575,0.0
777DiM4Ik777,0.194625,0.75,0.3702532072784786,4,0.5,0.16822499999999999,1.0
7LsW41klO,0.0022500000000000003,0.0037500000000000003,0.002121320343559643,2,1.0,0.0015,0.0
7bhnk,0.759375,1.5,1.0474019196325735,1,1.0,0.7910400000000002,0.0
7lava,0.0193125,0.075,0.03358082600234842,4,1.0,0.0232575,0.0
7yffar,0.15375,0.3,0.20682873349706513,1,0.5,0.3195,0.0
8illy8unny,18.993000000000002,24.0,7.080967306802088,1,1.0,32.786204999999995,0.0
917,0.0975,0.105,0.010606601717798217,2,0.0,-0.195,0.0
945k,0.00825,0.00825,0.0,1,1.0,0.0004125,0.0
96dacker,2.25,3.75,2.1213203435596424,1,1.0,0.4639275,0.0
999DRAGON999,0.028032178217821786,0.672,0.09852207660828065,31,0.297029702970297,-0.39682500000000026,0.4857142857142857
999_,0.22999999999999998,0.2565,0.037178622890042604,2,1.0,0.1822425,0.0
9Gramm,2.0625,3.75,2.386485386504598,2,0.5,0.0,0.0
ADM,0.683203125,3.75,1.219214894986216,12,0.6875,-2.1266175,0.0
AEVCOM,0.003,0.003,0.0,1,0.0,-0.003,0.0
AKKI,2.87775,19.16625,5.618721426726356,10,0.35714285714285715,-35.970555,0.5555555555555556
AL3X,1.125,1.125,0.0,1,1.0,0.045,0.0
ALFREDNATION,1.25,3.0,0.9968701018688443,3,0.8333333333333334,0.37479749999999995,1.0
ALIEN_SULACO,0.02679807692307692,0.22499999999999998,0.059088028365768354,11,0.038461538461538464,-0.40425,0.2916666666666667
ALT-delete,0.195,0.315,0.16970562748477142,2,1.0,0.02325,0.0
AMG360,0.0255,0.045,0.027577164466275353,2,0.0,-0.051,1.0
AMG81,0.0047,0.03375,0.008646944134036189,6,0.8666666666666667,0.09646499999999998,0.5
ANK_oco,0.9375,1.5,0.795495128834866,2,0.5,-1.48125,0.0
ARCNET,1.10925,1.10925,0.0,1,1.0,0.1663875,0.0
ARMAGEDON2020,0.03333333333333333,0.19575,0.044044830745328285,11,0.5185185185185185,-0.08288250000000001,0.5833333333333334
ARTEMMMMMMM,0.17882142857142855,0.375,0.15153456112150032,4,0.8571428571428571,0.21768,1.0
ASHYR,0.75,0.75,0.0,1,1.0,0.26582999999999996,0.0
Abaseen,3.0,3.75,1.0606601717798212,2,1.0,0.40856249999999994,0.0
Abdi90,0.83325,0.83325,0.0,1,1.0,0.3398325,0.0
Abegail,0.0195,0.0375,0.02545584412271571,2,1.0,0.023264999999999997,0.0
Aberam08,0.011250000000000001,0.015000000000000001,0.0037500000000000003,2,0.6666666666666666,0.008040000000000002,1.0
AbortedEmbryo,0.5360937499999999,15.0,2.3640285022903087,9,0.8958333333333334,2.5265625,0.0
AceManagement,1.4000000000000001,3.0,1.4817641512737445,2,0.3333333333333333,-2.445,0.5
Aces,7.5,7.5,0.0,1,0.0,-7.5,0.0
AcidMath,0.10687500000000001,0.2025,0.1352341719019272,1,1.0,0.0267375,0.0
Ackaron,0.0325188679245283,0.7725000000000001,0.1104274567073226,9,0.05660377358490566,-1.61064,0.5102040816326531
Ackaron76,0.016598684210526318,0.18975000000000003,0.030522534815754537,12,0.19736842105263158,-0.6754275,0.47540983606557374
Adam_Smitt,0.0103125,0.02475,0.010198805077066627,4,1.0,0.00684,0.0
Adaptation,0.0828,0.255,0.08126742253521545,7,0.9666666666666667,0.2928075,0.0
Addict3d,0.9687672413793103,1.6845,0.1443015959197104,16,0.20689655172413793,116.4463275,0.45454545454545453
Adinoza,1.3125,2.25,1.3258252147247767,2,1.0,0.25875,0.0
AdmiralNelson18,0.0043125,0.006,0.001125,1,1.0,0.0047475,0.0
Aelear,0.11249999999999999,0.11249999999999999,0.0,1,0.0,-0.11249999999999999,0.0
Aerotos,0.0225,0.0225,0.0,1,1.0,0.0116175,0.0
Aerozzz,0.075,0.075,0.0,1,0.0,-0.075,0.0
Aeschylus,0.4875,0.975,0.46987365323031255,2,1.0,0.382005,0.0
AfterHours,13.8375,22.5,12.250624984056937,2,1.0,13.5132075,0.0
Agent_Pupus,0.00375,0.00825,0.003968626966596886,3,0.6666666666666666,0.006719999999999999,0.0
Aikas,0.13558928571428572,1.54575,0.406170975830552,4,0.9285714285714286,0.0780825,0.0
Ainur999,0.0395625,0.075,0.025744234791502348,3,0.5,0.18514499999999998,0.5
Ajay,0.003,0.003,0.0,1,1.0,0.00045,0.0
Ajjaj,22.5,22.5,0.0,1,0.0,-22.5,0.0
Ajzfern,0.02175,0.02175,0.0,1,0.0,-0.02175,0.0
Akeno,0.4135714285714286,3.75,1.0364809519408755,6,0.6428571428571429,0.3637875,0.2
AksDe97,0.12000000000000001,0.12000000000000001,0.0,1,1.0,0.13404,0.0
AlPo,0.0099375,0.11249999999999999,0.024456846393726143,9,0.85,0.04601999999999999,0.3333333333333333
Alalay_ng_Panday,2.625,2.625,0.0,1,0.0,-2.625,0.0
Albert1985,0.013487704918032787,0.192,0.035978246501344055,15,0.4262295081967213,-0.32479500000000006,0.3235294117647059
AlbiAlbo,0.015000000000000001,0.015000000000000001,0.0,1,1.0,0.00075,0.0
Aleks-rdx,0.44037499999999996,2.3325,0.9302899648765433,3,0.0,-2.6422499999999998,0.6
Aleks1976,0.011625,0.0225,0.015379572490807408,1,0.5,0.010499999999999999,0.0
Aleks8,0.04425,0.04425,0.0,1,1.0,0.0054525,0.0
Alekss1,0.00834375,0.03525,0.00813268866980656,6,0.0625,-0.017534999999999995,0.5714285714285714
Alekss11,0.010666666666666666,0.084,0.01920343872392467,5,0.0,-0.192,0.47058823529411764
Alerithe,0.00525,0.00675,0.002121320343559642,1,1.0,0.0018,0.0
Alex2016,5.199794117647058,75.0,18.03941326288152,6,0.5294117647058824,-9.633262499999999,0.42857142857142855
Alex8690,0.3,0.3,0.0,1,0.0,-0.3,0.0
AlexBred,0.007500000000000001,0.007500000000000001,0.0,1,1.0,0.017235,0.0
AlexK08,0.001,0.0015,0.0004330127018922194,3,0.0,-0.003,0.0
AlexLor2016,0.0015,0.0015,0.0,1,0.0,-0.0015,0.0
AlexanderL2552,1.268804347826087,15.0,3.254631382699578,5,0.391304347826087,21.0515775,0.5
Alexy,194.9446914893617,750.0,275.3827440298666,12,0.46808510638297873,-1098.9206325,0.52
AliasDk,0.00075,0.00075,0.0,1,0.0,-0.00075,0.0
Alice68,0.878625,14.460749999999999,3.390875449004543,8,0.2222222222222222,-14.9397375,0.38461538461538464
AlienTvPL,0.001,0.003,0.0007500000000000001,4,1.0,0.002085,0.0
Alight,3.75,3.75,0.0,1,0.0,-3.75,0.0
Alisher,0.03225,0.08325,0.044173662967881666,3,0.6666666666666666,0.007627500000000001,1.0
Allex_Fast,0.00475,0.006,0.0011456439237389601,2,0.6666666666666666,-0.0025575000000000003,1.0
Almero92,0.49875,0.8250000000000001,0.4613871747242223,2,1.0,0.083625,0.0
Alvein,0.7575,1.5,0.7387785527477094,3,0.6666666666666666,0.68175,1.0
Alyschu,0.6,0.6,0.0,1,0.6666666666666666,-0.03078000000000003,0.0
AmericanNinja,0.1658181818181818,2.4,0.5035949642192752,9,0.36363636363636365,-0.12439500000000009,0.5
Amiri220,0.009983333333333334,0.13725,0.018040209458411807,16,0.4222222222222222,-0.07072500000000001,0.39215686274509803
AnAcHiE99,0.23249999999999998,0.44999999999999996,0.3075914498161481,1,1.0,0.260985,0.0
AndKs,0.038625,0.075,0.03163364506344471,3,0.25,-0.1379775,0.5
And_Smi,0.02725,0.036000000000000004,0.008627716963368701,2,0.3333333333333333,-0.06206250000000001,1.0
